Age,Birth Place,Birthday,College,Current Status,Experience (in seasons),Height (inches),Name,Position,Weight (lbs),Years Played
,"La Crosse , WI",7/30/1900,Idaho,Retired,1,70,"Fitzke, Paul",,195,1925 - 1925
52,"Allentown , PA",7/6/1964,East Stroudsburg,Retired,1,70,"Gerhard, Chris",,185,1987 - 1987
56,"Cocoa , FL",9/8/1960,South Carolina State,Retired,2,72,"Thomas, Zach",,182,1983 - 1984
38,American Samoa,11/19/1978,Nevada-Las Vegas,Retired,4,76,"Palepoi, Anton",,297,2002 - 2007
66,"Lackawanna , NY",3/23/1951,Youngstown State,Retired,1,74,"Jaworski, Ron",,196,1974 - 1989
,"Denver , CO",1/5/1920,Santa Clara,Retired,2,70,"Thornton, Rube",,205,1946 - 1947
,"Hudson , OH",2/23/1923,Ohio State,Retired,1,72,"Lavelli, Dante",,191,1946 - 1956
,"Pittsburgh , PA",9/12/1932,Westminster (PA),Retired,1,72,"Lander, Lowell",,195,1958 - 1958
22,"Plainwell , MI",8/17/1994,Michigan State,Active,2,78,"Conklin, Jack",OT,308,
36,"Kearney , NE",9/2/1980,Nebraska,Retired,5,73,"Larson, Kyle",,204,2004 - 2008
24,"Port St. Lucie , FL",7/2/1992,Louisville,Active,4,71,"Pryor, Calvin",DB,207,
37,"Los Angeles , CA",4/18/1980,Utah State,Retired,6,73,"Jimoh, Ade",,187,2003 - 2008
57,"Burbank , CA",12/5/1959,Indiana,Retired,7,74,"Laufenberg, Babe",,198,1983 - 1990
28,"Lincolnton , GA",3/15/1989,Vanderbilt,Retired,3,76,"Barden, Brandon",,253,2012 - 2015
28,"Rome , GA",4/17/1989,Clemson,Active,2,76,"Brown, Kourtnei",DE,253,
,"Santa Monica , CA",8/12/1966,UCLA,Retired,1,72,"Farr, Mel Jr.",,222,1989 - 1989
31,,6/3/1986,Texas,Retired,1,75,"Tanner, Charlie",,305,2010 - 2010
61,"Hazelton , PA",9/8/1955,Pennsylvania,Retired,1,76,"Iwanowski, Mark",,230,1978 - 1978
49,"Texarkana , TX",9/26/1967,Arkansas-Pine Bluff,Retired,2,76,"Finn, Mike",,290,1993 - 1994
,"Duluth , MN",7/31/1900,Minnesota,Retired,9,70,"O'Donnell, Dick",,190,1923 - 1931
,"Milburn , OK",3/29/1923,Texas Tech,Retired,2,70,"Earhart, Ralph",,165,1948 - 1949
41,,6/6/1976,East Tennessee State,Retired,3,73,"Edwards, Brian",,230,1999 - 2001
,"Wilmette , IL",11/17/1891,Dartmouth,Retired,2,67,"Ghee, Milt",,167,1920 - 1921
32,"Mayfield Heights , OH",8/10/1984,Central Florida,Active,1,70,"Prater, Matt",K,201,
29,"Atlanta , GA",9/16/1987,East Carolina,Active,7,70,"Harris, Dwayne",WR,202,
41,"Jacksonville , FL",3/22/1976,Clemson,Retired,2,77,"Abdullah, Rahim",,233,1999 - 2000
71,,11/20/1945,San Diego State,Retired,1,71,"Washington, Teddy",,210,1968 - 1968
72,"Berkeley , CA",3/11/1945,Fresno State,Retired,1,71,"Frazier, Curt",,193,1968 - 1968
27,,2/9/1990,Michigan,Retired,1,68,"Gallon, Jeremy",,185,2014 - 2014
29,"Lowmoor , VA",6/11/1987,Virginia,Active,9,77,"Phillips, John",TE,251,
45,"Cleveland , OH",1/23/1972,Notre Dame,Retired,6,73,"Peterson, Tony",,232,1994 - 1999
,"Paducah , KY",4/15/1901,Centre,Retired,1,70,"Lemon, Cliff",,190,1926 - 1926
,"Sioux City , IA",11/7/1918,Portland,Retired,1,74,"Barrett, Emmett",,192,1942 - 1942
61,"Kerrville , TX",10/26/1955,West Texas A&M,Retired,2,76,"Fifer, Bill",,250,1978 - 1979
,,,No College,Retired,5,72,"Underwood, Jack",,196,1924 - 1929
,"Massillon , OH",4/28/1905,Carthage,Retired,3,71,"Wager, John",,203,1931 - 1933
,"Mineral , VA",10/26/1922,North Carolina A&T,Retired,2,71,"Jackson, Bob",,210,1950 - 1951
,"Worcester , MA",5/18/1901,Holy Cross,Retired,2,73,"Garvey, Franny",,175,1925 - 1926
27,"Fort Worth , TX",5/20/1990,East Central (OK),Active,5,76,"Bryant, Armonty",DE,265,
70,"Fort Worth , TX",3/9/1947,Texas Christian,Retired,1,72,"Thornton, Bubba",,174,1969 - 1969
,Croatia,6/22/1920,Georgetown,Retired,2,74,"Perpich, George",,223,1946 - 1947
59,Istanbul Turkey,9/23/1957,Indiana State,Retired,1,75,"Ilkin, Tunch",,253,1980 - 1993
72,"Chicago , IL",9/9/1944,Illinois,Retired,6,74,"Grabowski, Jim",,220,1966 - 1971
32,"Denver , CO",10/31/1984,Colorado,Retired,3,76,"Daniels, Brian",,303,2007 - 2009
,"Waltham , MA",5/24/1897,Dartmouth,Retired,8,73,"Youngstrom, Swede",,187,1920 - 1927
63,"Washington , DC",10/2/1953,Cincinnati,Retired,2,73,"Marvaso, Tommy",,190,1976 - 1977
90,"Port View , PA",2/23/1927,Auburn,Retired,1,72,"Klasnic, John",,185,1948 - 1948
29,"Jenks , OK",12/28/1987,Stanford,Retired,2,75,"Beeler, Chase",,285,2011 - 2012
33,"Boston , MA",10/25/1983,Stanford,Retired,1,75,"Jenkins, Julian",,277,2006 - 2007
26,"Pittsburgh , PA",5/4/1991,West Virginia,Active,4,78,"Clarke, Will",DE,280,
,"Austin , MN",2/11/1905,North Dakota,Retired,1,73,"Young, Sam",,190,1927 - 1927
45,,6/19/1971,Edinboro,Retired,1,77,"Kegarise, Mike",,310,1994 - 1994
69,"Houma , LA",7/4/1947,Grambling State,Retired,1,73,"Lewis, Frank",,196,1971 - 1983
36,"Youngstown , OH",8/16/1980,Notre Dame,Retired,6,72,"Givens, David",,215,2002 - 2007
33,"Baton Rouge , LA",4/29/1984,Stanford,Retired,3,74,"Harrison, Brandon",,226,2007 - 2009
,,12/4/1919,Texas A&M,Retired,1,71,"Mattingly, Fran",,212,1947 - 1947
72,"Memphis , TN",8/1/1944,Arizona State,Retired,1,72,"Lewis, Hal",,185,1968 - 1968
24,,6/16/1992,Fayetteville State,Retired,1,75,"Reed, Marcus",,345,2015 - 2015
,"Dover , NJ",11/10/1938,Colgate,Retired,1,76,"MacKinnon, Jacque",,235,1961 - 1970
29,,2/7/1988,Texas Christian,Retired,1,72,"Ibiloye, Alex",,183,2011 - 2011
43,"Cleveland , OH",2/27/1974,Allegheny,Retired,2,73,"Anderson, Ronnie",,189,1997 - 1998
29,"Marion , IN",9/18/1987,Iowa,Retired,5,76,"Edds, A.J.",,256,2010 - 2014
60,"Tucson , AZ",6/5/1957,Arizona,Retired,6,72,"Garcia, Frank",,205,1981 - 1987
32,,2/3/1985,Walsh,Retired,0,69,"Kizer, Rayshaun",,193,2007 - 2007
73,"Homestead , PA",4/19/1944,Waynesburg,Retired,1,70,"Theofiledes, Harry",,180,1968 - 1968
55,"Johnson City , NY",3/28/1962,Syracuse,Retired,2,75,"Kimmel, Jamie",,235,1986 - 1987
48,"Chicago , IL",2/25/1969,UCLA,Retired,1,75,"Richardson, Paul",,204,1993 - 1993
26,"Concord , CA",1/30/1991,Arkansas,Active,4,77,"Swanson, Travis",C,304,
,"Evergreen Park , IL",5/13/1961,Tulsa,Retired,4,76,"Baldwin, Tom",,274,1984 - 1988
72,"Dunsmuir , CA",8/23/1944,Notre Dame,Retired,4,73,"Eddy, Nick",,210,1968 - 1972
,"Calumet , MI",12/10/1901,Detroit Mercy,Retired,1,72,"Bachor, Rip",,215,1928 - 1928
29,,10/11/1987,Georgia,Retired,1,78,"Vance, Vincent",,315,2010 - 2010
72,Blockwood Wales,11/5/1944,Newport (Wales),Retired,1,69,"Watson, Allan",,162,1970 - 1970
55,"Chappaqua , NY",4/17/1962,Colgate,Retired,3,70,"Erenberg, Rich",,200,1984 - 1986
60,"Miami , FL",11/7/1956,Oklahoma,Retired,3,73,"Peacock, Elvis",,212,1979 - 1981
,"Elmwood Park , IL",12/29/1936,Illinois,Retired,1,75,"Nitschke, Ray",,235,1958 - 1972
31,"Burton , MI",4/21/1986,Grand Valley State,Active,9,74,"Skuta, Dan",LB,252,
25,,9/1/1991,South Carolina,Active,5,70,"Swearinger, D.J.",FS,205,
,"Arlington , NE",9/9/1909,Nebraska,Retired,1,75,"Rhea, Hughie",,225,1933 - 1933
26,"West Allis , WI",12/17/1990,Wisconsin,Active,4,73,"Abbrederis, Jared",WR,195,
51,"Lufkin , TX",9/17/1965,Stephen F. Austin St.,Retired,5,69,"Alexander, Bruce",,170,1989 - 1993
30,"Fort Lewis , WA",3/21/1987,Oregon,Active,1,70,"Stewart, Jonathan",RB,240,
55,"Casa Grande , AZ",12/26/1961,Texas,Retired,2,73,"Cade, Mossy",,197,1985 - 1986
32,,3/16/1985,Georgia,Retired,1,74,"Verdun-Wheeler, Danny",,240,2007 - 2008
39,"Caldwel , ID",7/31/1977,Brigham Young,Retired,1,76,"Olsen, Hans",,294,2001 - 2001
,"Cincinnati , OH",11/5/1904,Notre Dame,Retired,3,74,"Maxwell, Joey",,197,1927 - 1929
,"Calumet , MI",8/27/1896,Detroit Mercy,Retired,5,72,"Harvey, Norm",,196,1925 - 1929
32,"Los Angeles , CA",5/19/1985,Washington,Retired,5,70,"Lewis, Roy",,190,2008 - 2012
,"Waterbury , CT",10/31/1894,Washington (Md),Retired,1,76,"Keenan, Ed",,320,1926 - 1926
102,"Ringgold , LA",11/25/1914,Louisiana Tech,Retired,2,74,"Giddens, Wimpy",,220,1938 - 1944
64,"Warren , OH",11/27/1952,Montana State,Retired,8,75,"Kollar, Bill",,255,1974 - 1981
54,"Tacoma , WA",11/22/1962,Boston College,Retired,1,74,"DeOssie, Steve",,248,1984 - 1995
30,"Memphis , TN",6/14/1986,Mississippi,Active,8,77,"Jerry, John",G,340,
61,"Leakesville , MS",11/7/1955,Mississippi State,Retired,1,70,"Packer, Walter",,174,1977 - 1977
,"Detroit , MI",1/10/1907,Michigan State,Retired,1,72,"Ridler, Don",,220,1931 - 1931
39,"San Clemente , CA",12/25/1977,Nevada,Retired,3,72,"Insley, Trevor",,190,2000 - 2002
67,"Chicago , IL",1/11/1950,South Dakota,Retired,6,73,"Sanders, Deac",,175,1974 - 1979
34,,5/5/1983,Wake Forest,Retired,0,77,"Andrews, Bryan",,266,2007 - 2007
65,"Cincinnati , OH",4/9/1952,Michigan,Retired,3,72,"Haslerig, Clint",,189,1974 - 1976
60,"Los Angeles , CA",4/15/1957,Washington,Retired,1,70,"Glasgow, Nesby",,180,1979 - 1992
48,"Eunice , LA",1/5/1969,Grambling State,Retired,3,73,"Ned, Derrick",,230,1993 - 1995
24,,5/5/1993,Fordham,Retired,1,77,"Light, Dan",,265,2015 - 2015
,"New York , NY",11/9/1911,North Carolina,Retired,3,69,"Kahn, Eddie",,194,1935 - 1937
,"Danevang , TX",9/2/1898,Southern Methodist,Retired,1,,"Kirkgard, Heinie",,165,1923 - 1923
31,,12/6/1985,Connecticut,Retired,1,72,"Deleston, Dahna",,211,2009 - 2009
70,"Nashua , NH",12/18/1946,Massachusetts,Retired,1,76,"Landry, Greg",,210,1968 - 1984
32,"Forest , VA",3/26/1985,Liberty,Unsigned free agent,9,73,"Jennings, Rashad",RB,231,
32,"Cuero , TX",11/26/1984,Texas A&M,Unsigned free agent,8,76,"Wallace, Cody",C,296,
58,"New Orleans , LA",4/15/1959,Southern Methodist,Retired,2,68,"Garcia, Eddie",,178,1983 - 1984
,"Bridgeville , PA",11/12/1917,Duquesne,Retired,1,71,"Yurchey, John",,188,1940 - 1940
38,"Naperville , IL",12/1/1978,Northern Illinois,Retired,8,74,"McCareins, Justin",,215,2001 - 2008
30,"Columbus , OH",5/28/1987,Oklahoma State,Retired,5,70,"Lacey, Jacob",,183,2009 - 2013
66,"San Jose , CA",6/27/1950,UCLA,Retired,5,74,"Pifferini, Bob",,226,1972 - 1977
,"Universal , IN",1/8/1916,Northwestern,Retired,4,74,"Vanzo, Fred",,230,1938 - 1941
73,"Henderson , KY",6/1/1944,Kentucky,Retired,5,76,"Ball, Sam",,250,1966 - 1970
36,,12/15/1980,Troy,Retired,1,78,"Tellis, Henry",,315,2006 - 2006
,"Spartanburg , SC",1/14/1920,Clemson,Retired,1,69,"Tinsley, Sid",,168,1945 - 1945
,"Philadelphia , PA",6/8/1913,Western Maryland,Retired,3,72,"Kaplan, Bernie",,208,1935 - 1942
70,"Anderson , SC",3/26/1947,Clemson,Retired,1,75,"Cagle, Johnny",,260,1969 - 1969
35,,6/12/1981,Missouri-Rolla,Retired,0,71,"Fischer, Brett",,199,2006 - 2006
23,"Los Angeles , CA",7/8/1993,UCLA,Active,2,74,"Wallace, Aaron",OLB,242,
44,"Augusta , GA",5/18/1973,East Carolina,Retired,2,75,"Scott, Walter",,273,1996 - 1999
26,"Pine Bluff , AR",6/30/1990,Arkansas,Unsigned free agent,5,75,"Gragg, Chris",TE,244,
,"Portland , OR",9/17/1918,Oregon,Retired,1,73,"Emmons, Frank",,213,1940 - 1940
42,"Walnut Creek , CA",7/25/1974,Washington State,Retired,7,78,"Sanderson, Scott",,295,1997 - 2003
24,"San Diego , CA",12/1/1992,Texas A&M,Retired,1,73,"Baggs, Donnie",,235,2015 - 2015
37,"Dallas , TX",2/22/1980,Notre Dame,Retired,9,73,"Battle, Arnaz",,208,2003 - 2011
64,"Mckeesport , PA",5/29/1953,Michigan,Retired,4,73,"Franks, Dennis",,241,1976 - 1979
25,"Cheraw , SC",7/13/1991,East Carolina,Retired,1,74,"Pegues, Lee",,291,2014 - 2014
58,"Aurora , IL",12/22/1958,Michigan,Retired,9,77,"Becker, Kurt",,271,1982 - 1990
51,"Westminster , CA",4/22/1966,Arizona,Retired,1,77,"Parker, Glenn",,312,1990 - 2001
62,"Chicago , IL",6/11/1954,Yale,Retired,1,73,"Fencik, Gary",,194,1976 - 1987
36,"Norfolk , VA",3/18/1981,North Carolina,Retired,3,71,"Reid, Dexter",,203,2004 - 2006
25,,9/30/1991,Utah,Active,1,74,"Blechen, Brian",LB,230,
27,"Tuscumbia , AL",5/14/1990,Arkansas State,Active,5,71,"Jones, Don",DB,195,
30,"Bellaire , OH",5/25/1987,Ball State,Retired,2,73,"Davis, Nate",,226,2009 - 2011
34,"Carthage , TX",10/23/1982,Sam Houston State,Retired,0,78,"Roberts, Corey",,243,2006 - 2006
46,"Atlanta , GA",2/1/1971,Clemson,Retired,2,73,"O'Neal, Robert",,194,1993 - 1994
40,"Aurora , IL",9/20/1976,Michigan,Retired,2,79,"Ziemann, Chris",,307,2000 - 2002
62,"Provo , UT",10/25/1954,Brigham Young,Retired,6,76,"Nielsen, Gifford",,205,1978 - 1983
,"Abilene , KS",2/7/1911,Kansas,Retired,1,71,"Schaake, Elmer",,207,1933 - 1933
,"Evanston , IL",4/27/1896,No College,Retired,1,71,"Falcon, Dick",,190,1920 - 1920
41,"Fullerton , CA",11/8/1975,UCLA,Retired,2,74,"Nevadomsky, Jason",,240,1999 - 2001
58,"Greenville , MS",4/9/1959,Mississippi,Retired,2,74,"Toler, Kenneth",,195,1981 - 1982
53,"Huntsville , AL",6/8/1963,Alabama,Retired,1,76,"Johnson, Hoss",,295,1987 - 1987
45,"Bellaire , OH",11/20/1971,Ohio State,Retired,1,71,"Galloway, Joey",,197,1995 - 2010
79,"Cincinnati , OH",10/14/1937,Tennessee,Retired,1,72,"Schaffer, Joe",,210,1960 - 1960
77,"Fort Worth , TX",5/1/1940,North Texas,Retired,2,72,"Perkins, Art",,225,1962 - 1963
63,"Stillwater , MN",6/30/1953,Nebraska,Retired,8,76,"Nelson, Bob",,232,1975 - 1984
32,"Griffin , GA",10/12/1984,Troy,Retired,6,73,"Martin, Sherrod",,200,2009 - 2015
,", IL",5/10/1903,Iowa,Retired,1,71,"Fisher, Darrell",,190,1925 - 1925
25,"San Francisco , CA",2/15/1992,Oregon State,Active,3,67,"Ward, Terron",RB,201,
,"Chicago , IL",9/26/1930,Illinois,Retired,5,71,"O'Connell, Tommy",,187,1953 - 1961
28,,1/2/1989,Western Illinois,Retired,1,76,"Lamphear, Mike",,295,2011 - 2011
70,"Bessemer , AL",10/5/1946,Alcorn State,Retired,9,74,"Watkins, Larry",,230,1969 - 1977
65,"Columbus , GA",1/7/1952,Louisville,Retired,3,74,"Reese, Steve",,229,1974 - 1976
25,,7/2/1991,Ohio State,Retired,1,69,"Hall, Jordan",,191,2014 - 2014
60,"St. Petersburg , FL",5/12/1957,Hillsdale,Retired,1,71,"Johnson, Nate",,192,1980 - 1980
47,,8/26/1969,Idaho,Retired,1,72,"McCall, Kris",,188,1992 - 1992
23,"San Antonio , TX",12/15/1993,Texas Christian,Active,2,70,"Kindred, Derrick",SS,210,
,"Mcpherson , KS",12/30/1888,No College,Retired,1,75,"Magerkurth, George",,240,1920 - 1920
28,,4/30/1989,Arkansas,Retired,1,71,"Madison, Isaac",,185,2012 - 2012
,"Oshkosh , WI",12/5/1911,Wisconsin,Retired,7,76,"Seibold, Champ",,237,1934 - 1942
70,"Jacksonville , FL",2/5/1947,Florida State,Retired,5,76,"Sellers, Ron",,205,1969 - 1973
28,,2/4/1989,Texas A&M,Retired,1,74,"Mathis, Jonathan",,300,2013 - 2013
,"Miamisburg , OH",8/13/1891,No College,Retired,1,71,"Kinderdine, Hobby",,183,1920 - 1929
,"Milbank , SD",5/5/1913,Drake,Retired,9,72,"Manders, Pug",,202,1939 - 1947
,"Chicago , IL",5/2/1907,Indiana,Retired,7,74,"Randolph, Clare",,204,1930 - 1936
22,"Richmond , CA",11/2/1994,Texas,Active,2,75,"Ridgeway, Hassan",DT,317,
25,"Mount Pleasant , TN",2/24/1992,Tennessee,Retired,1,78,"Richardson, Antonio",,300,2014 - 2014
26,,10/21/1990,Massachusetts,Retired,1,78,"Dima, Anthony",,295,2015 - 2015
,"Holyoke , MA",2/25/1899,Detroit Mercy,Retired,5,66,"Barrett, John",,170,1924 - 1928
77,"Menominee , WI",3/4/1940,Northern Michigan,Retired,1,71,"Neumann, Tom",,205,1963 - 1963
,"Pryor , OK",5/26/1907,Arkansas,Retired,3,73,"Van Sickle, Clyde",,220,1930 - 1933
58,"Appalachia , VA",7/10/1958,North Carolina,Retired,3,74,"Davis, Paul",,221,1981 - 1983
34,,5/18/1983,New Mexico,Retired,0,74,"Parker, Marcus",,273,2006 - 2006
64,"Miami , FL",2/21/1953,Florida,Retired,1,74,"Cameron, Glenn",,225,1975 - 1985
45,"Dayton , OH",10/21/1971,Michigan State,Retired,1,77,"Hannah, Shane",,345,1995 - 1995
58,"New Braunfels , TX",2/5/1959,Texas,Retired,8,77,"Tausch, Terry",,275,1982 - 1989
,"Mishawaka , IN",5/17/1922,Illinois,Retired,3,71,"Maggioli, Chick",,178,1948 - 1950
42,"Bristol , PA",2/26/1975,Washington State,Retired,3,73,"Jackson, Chris",,203,2000 - 2003
31,,1/30/1986,Washington State,Retired,1,72,"Dillon, Charles",,202,2010 - 2010
,"Natchez , MS",8/31/1949,Alcorn State,Retired,8,75,"Rice, Floyd",,223,1971 - 1978
42,Leone American Samoa,3/25/1975,Arizona,Retired,8,75,"Salave'a, Joe",,337,1998 - 2007
,"Meriden , CT",2/19/1904,Holy Cross,Retired,1,68,"Manfreda, Tony",,172,1930 - 1930
,"Salt Lake City , UT",4/10/1924,Utah,Retired,1,76,"Olsen, Ralph",,220,1949 - 1949
26,"Upper Marlboro , MD",1/1/1991,West Virginia,Active,5,75,"Garvin, Terence",LB,235,
61,"Dallas , TX",2/3/1956,Arizona State,Retired,8,73,"Jefferson, John",,198,1978 - 1985
,"Los Angeles , CA",8/1/1956,San Jose State,Retired,1,74,"Gill, Randy",,230,1978 - 1978
32,"Venice , FL",3/26/1985,Murray State,Retired,3,72,"Harper, Rod",,209,2009 - 2011
38,"Springfield , IL",5/22/1979,USC,Retired,5,74,"Ohalete, Ifeanyi",,221,2001 - 2005
58,"Castro Valley , CA",2/23/1959,San Jose State,Retired,2,72,"Thompson, Gary",,180,1983 - 1984
28,"Cincinnati , OH",11/29/1988,Wisconsin,Active,6,71,"Wilson, Russell",QB,215,
27,"Charlotte , NC",5/9/1990,Wofford,Active,4,75,"Bersin, Brenton",WR,210,
52,"Merced , CA",11/26/1964,Idaho,Retired,1,75,"Cable, Tom",,273,1987 - 1987
38,"Emmetsburg , IA",5/12/1979,Iowa,Retired,2,77,"Nelson, Bruce",,301,2003 - 2004
,"Mcmechen , WV",2/13/1918,West Virginia,Retired,6,74,"Seabright, Charlie",,204,1941 - 1950
25,"Youngstown , OH",7/27/1991,Ohio State,Active,4,75,"Linsley, Corey",C,301,
33,,2/6/1984,Texas Tech,Retired,1,77,"Bake, Dek",,272,2007 - 2007
75,"Plainfield , NJ",5/24/1942,Penn State,Retired,5,75,"Liske, Pete",,200,1964 - 1972
44,"Dallas , TX",1/30/1973,Texas Christian,Retired,2,70,"Oliver, Jimmy",,173,1995 - 1996
,"Woodstock , IL",12/22/1929,Purdue,Retired,1,74,"Young, Glenn",,205,1956 - 1956
26,,5/28/1991,Rutgers,Retired,1,71,"Toler, Lew",,190,2014 - 2014
44,"Plantation , FL",10/24/1972,Mississippi,Retired,1,75,"Calicchio, Lonny",,249,1997 - 1997
63,"Phoenixville , PA",2/23/1954,Iowa,Retired,1,77,"Devlin, Joe",,261,1976 - 1989
54,"Houston , TX",3/11/1963,Texas A&M,Retired,5,76,"Darwin, Matt",,268,1986 - 1990
38,"Phoenix , AZ",11/27/1978,Arizona State,Retired,1,77,"Kosier, Kyle",,305,2002 - 2011
33,,2/7/1984,Washington State,Retired,1,73,"Dildine, Steve",,238,2007 - 2007
49,"Saugatuck , MI",8/16/1967,Michigan State,Retired,7,75,"Vanderbeek, Matt",,255,1990 - 1996
,"Bronx , NY",8/30/1908,Fordham,Retired,4,73,"Kloppenberg, Harry",,210,1930 - 1934
38,"Odenton , MD",8/1/1978,Delaware State,Retired,6,75,"McCants, Darnerien",,215,2001 - 2008
71,"Atlanta , GA",4/2/1946,Grambling State,Retired,9,75,"Atkins, Bob",,215,1968 - 1976
,"Ochiltree Co. , TX",12/27/1914,Texas Christian,Retired,2,73,"Ellis, Drew",,215,1938 - 1939
50,,3/13/1967,Pittsburgh,Retired,1,74,"Goetz, Chris",,272,1991 - 1991
51,"Indianapolis , IN",6/28/1965,Grambling State,Retired,2,75,"Maxey, Curtis",,298,1988 - 1989
56,"Newark , NJ",12/9/1960,Texas Tech,Retired,2,76,"Arbubakrr, Hasson",,250,1983 - 1984
24,"Raleigh , NC",8/11/1992,Tennessee,Active,4,79,"McCullers-Sanders, Dan",NT,352,
29,"Chicago , IL",7/25/1987,Northwestern,Retired,5,75,"Kafka, Mike",,230,2010 - 2015
30,"Provo , UT",1/18/1987,Brigham Young,Retired,5,72,"Unga, Harvey",,237,2010 - 2014
,"Minneapolis , MN",7/25/1898,No College,Retired,1,,"Norbeck, John",,195,1921 - 1921
,"Blanchard , IA",4/16/1905,Iowa,Retired,1,70,"Hagerty, Horse",,185,1930 - 1930
42,"Springfield , OH",4/26/1975,Michigan State,Retired,3,77,"Threats, Jabbar",,268,1997 - 2002
104,"Stockton , CA",2/21/1913,Miami (Ohio),Retired,2,74,"Emerick, Bob",,225,1934 - 1937
25,,11/13/1991,James Madison,Retired,1,76,"Harold, Sage",,245,2015 - 2015
29,"Piscataway , NJ",9/8/1987,Boise State,Unsigned free agent,8,70,"Wilson, Kyle",DB,190,
65,"Delaware Co. , PA",2/15/1952,Princeton,Retired,6,77,"Chandler, Karl",,250,1974 - 1979
23,"Waconia , MN",4/12/1994,Minnesota,Active,3,76,"Williams, Maxx",TE,257,
37,,4/7/1980,Wisconsin,Retired,0,78,"Johnson, Ben",,329,2006 - 2006
70,"Johnson City , NY",4/18/1947,Penn State,Retired,1,72,"Campbell, Bob",,195,1969 - 1969
58,"Beaumont , TX",8/15/1958,Texas-Arlington,Retired,1,74,"Odom, Cliff",,225,1980 - 1993
23,"Baton Rouge , LA",10/15/1993,Southern Mississippi,Active,2,68,"Richard, Jalen",RB,207,
47,"San Diego , CA",11/29/1969,Utah,Retired,2,76,"Embray, Keith",,265,2000 - 2001
23,"Chicago , IL",5/9/1994,Ball State,Active,1,75,"Williams, Jordan",WR,228,
30,"Los Angeles , CA",2/15/1987,Oregon,Retired,4,69,"Johnson, Jeremiah",,210,2009 - 2013
39,"Montgomery , AL",10/23/1977,Troy,Retired,1,75,"Allen, Matt",,230,2002 - 2002
29,"Hampton , VA",8/25/1987,Tulsa,Retired,0,72,"Marion, Brennan",,185,2009 - 2009
48,"San Jose , CA",12/5/1968,California,Retired,8,74,"Hall, Rhett",,276,1991 - 1998
40,"Knoxville , TN",6/26/1976,Marshall,Retired,1,75,"Pennington, Chad",,225,2000 - 2010
,"Holyoke , MA",11/20/1900,Fordham,Retired,1,71,"Manning, Jim",,195,1926 - 1926
32,"Plymouth , MN",1/19/1985,Northern Iowa,Retired,0,78,"Pedescleaux, Everette",,305,2009 - 2009
25,"Modesto , CA",12/8/1991,Fresno State,Active,3,70,"Burse, Isaiah",WR,187,
65,"Pittsburgh , PA",10/24/1951,Penn State,Retired,9,74,"Laslavic, Jim",,237,1973 - 1982
42,"Denver , CO",4/28/1975,Missouri Southern State,Retired,1,72,"Thrash, James",,204,1997 - 2008
49,"Orlando , FL",1/3/1968,Alabama,Retired,2,79,"Rayam, Thomas",,297,1992 - 1993
30,"Fort Myers , FL",9/18/1986,Michigan State,Retired,3,70,"Ware, Jeremy",,185,2010 - 2012
27,"Jonesboro , GA",10/11/1989,Lehigh,Retired,4,75,"Rackley, Will",,318,2011 - 2014
78,"Spruce Pine , NC",5/26/1939,North Carolina State,Retired,5,73,"Gibson, Claude",,190,1961 - 1965
33,"Anaheim , CA",9/23/1983,California-Davis,Retired,9,76,"Fells, Daniel",,260,2006 - 2015
54,"Nashville , TN",8/6/1962,Tennessee State,Retired,1,76,"Walton, Riley",,245,1987 - 1987
45,,2/16/1972,Hofstra,Retired,1,72,"Damas, Herve",,235,1995 - 1995
64,"Chicago , IL",2/24/1953,Colorado,Retired,7,74,"Westbrooks, Greg",,215,1975 - 1981
,"Lincoln , NE",7/16/1906,Nebraska,Retired,5,73,"Richards, Ray",,230,1930 - 1936
73,"Dallas , TX",6/9/1943,North Texas,Retired,1,75,"Sanders, Bob",,235,1967 - 1967
72,"Savannah , GA",2/15/1945,Bethune-Cookman,Retired,1,73,"Washington, Dick",,205,1968 - 1968
25,,12/27/1991,Tennessee,Active,5,78,"Bray, Tyler",QB,215,
37,"Rosebud , TX",6/23/1979,Texas Christian,Retired,1,70,"Tomlinson, LaDainian",,215,2001 - 2011
,"Buffalo , NY",9/27/1891,Buffalo,Retired,1,71,"Voss, Doc",,190,1920 - 1920
58,"Lumberton , NC",10/27/1958,North Carolina,Retired,1,76,"Thompson, Donnell",,254,1981 - 1992
72,"Birmingham , AL",6/30/1944,North Central,Retired,5,74,"Carr, Levert",,272,1969 - 1973
55,"Denver , CO",3/16/1962,Wyoming,Retired,2,71,"Weil, Jack",,175,1986 - 1987
,"Dallas , TX",11/24/1939,Southern Methodist,Retired,1,76,"Mays, Jerry",,252,1961 - 1970
50,"Rock Hill , SC",2/27/1967,North Carolina Central,Retired,9,71,"Massey, Robert",,200,1989 - 1997
24,,12/6/1992,New Mexico State,Retired,1,71,"Franklin, Austin",,189,2014 - 2014
54,"Oakland , CA",11/12/1962,Fresno State,Retired,3,74,"Taylor, Gene",,189,1987 - 1991
64,"Birmingham , AL",5/18/1953,Alabama,Retired,3,73,"Davis, Ricky",,179,1975 - 1977
24,"Tucson , AZ",10/30/1992,Arizona,Active,4,70,"Carey, Ka'Deem",RB,215,
88,"Los Angeles , CA",1/9/1929,California,Retired,3,71,"Schabarum, Pete",,185,1951 - 1954
