age,birth_date,college,retirement_status,years_played,height,player_name,position,weight_lbs,year_start,year_end
,12/11/1922,Dartmouth,Retired,2,75,"Daukas, Nick",,220,1946,1947
,2/7/1950,USC,Retired,6,73,"Thomas, Skip",,205,1972,1977
84,9/24/1932,USC,Retired,2,72,"Ferrante, Orlando",,230,1960,1961
48,12/16/1968,Arizona,Retired,1,69,"Lewis, Darryll",,188,1991,2000
58,5/1/1959,Central Arkansas,Retired,2,72,"Evans, David",,178,1986,1987
47,12/3/1969,Auburn,Retired,6,76,"King, Ed",,300,1991,1997
70,5/13/1947,Illinois,Retired,1,73,"Johnson, Rich",,225,1969,1969
56,2/13/1961,Duke,Retired,1,71,"Tilley, Emmett",,240,1983,1983
23,8/8/1993,Auburn,Active,2,69,"Countess, Blake",CB,184,,
,6/3/1889,No College,Retired,5,73,"Nesser, Frank",,245,1920,1926
,,Pikeville,Retired,1,70,"Richardson, Nu'Keese",,160,2014,2014
,6/27/1941,North Dakota,Retired,1,72,"Mann, Errol",,200,1968,1978
24,1/21/1993,Stanford,Active,3,71,"Richards, Jordan",SS,210,,
50,11/21/1966,UCLA,Retired,1,76,"Aikman, Troy",,220,1989,2000
,7/1/1958,Notre Dame,Retired,1,73,"Waymer, Dave",,195,1980,1992
,3/13/1943,San Diego State,Retired,8,74,"Wenzel, Ralph",,250,1966,1974
40,2/17/1977,Tennessee State,Retired,6,77,"Anderson, Bennie",,345,2001,2006
51,9/5/1965,Mesa State,Retired,1,73,"Martin, Tony",,180,1990,2001
36,8/22/1980,Florida,Retired,5,79,"Pearson, Mike",,302,2002,2006
23,8/23/1993,Memphis,Retired,1,74,"Redden, Terry",,295,2015,2015
,11/16/1950,Texas A&M-Commerce,Retired,1,77,"Martin, Harvey",,262,1973,1983
61,3/12/1956,California,Retired,2,73,"Thompson, Jesse",,185,1978,1980
,8/24/1932,Detroit Mercy,Retired,7,73,"Riley, Lee",,192,1955,1962
22,7/25/1994,Florida Atlantic,Active,2,70,"LeBlanc, Cre'von",CB,190,,
71,8/7/1945,Notre Dame,Retired,1,76,"Page, Alan",,245,1967,1981
30,4/21/1987,West Virginia,Retired,1,71,"Richardson, Kent",,200,2013,2013
24,2/7/1993,South Carolina State,Active,2,73,"Hargrave, Javon",NT,305,,
,5/1/1900,Brown,Retired,2,69,"Keefer, Jack",,172,1926,1928
25,11/26/1991,Boston College,Retired,1,76,"Vardaro, Bobby",,317,2015,2015
79,12/31/1937,Syracuse,Retired,2,72,"Baker, Art",,220,1961,1962
26,10/26/1990,San Diego State,Active,4,70,"McFadden, Leon",DB,190,,
46,10/20/1970,Appalachian State,Retired,2,74,"Alexander, Harold",,224,1993,1994
23,7/13/1993,Harvard,Active,1,77,"Fabiano, Anthony",C,307,,
,6/25/1892,Pennsylvania,Retired,2,70,"Derr, Ben",,180,1920,1921
35,5/19/1982,Georgia Tech,Retired,5,75,"Foschi, J.P.",,265,2005,2010
25,4/27/1992,Sam Houston State,Active,2,76,"Edwards, Lac",P,209,,
,1/22/1916,Washington State,Retired,2,75,"Klumb, John",,200,1939,1940
72,4/27/1945,Nebraska,Retired,1,73,"Tatman, Pete",,220,1967,1967
68,2/21/1949,Northwestern (Ia),Retired,4,78,"Korver, Kelvin",,267,1972,1975
70,8/27/1946,Maryland,Retired,9,73,"Van Heusen, Billy",,200,1968,1976
76,6/17/1940,Minnesota,Retired,1,76,"Bell, Bobby",,228,1963,1974
71,12/16/1945,Texas Southern,Retired,5,75,"Askson, Bert",,223,1971,1977
27,5/18/1990,Florida A&M,Retired,1,74,"Harvey, Travis",,185,2014,2015
33,7/5/1983,Texas,Retired,7,75,"Thomas, David",,248,2006,2012
34,1/5/1983,Arkansas,Retired,1,78,"Davie, Andrew",,275,2009,2009
76,10/14/1940,Texas Tech,Retired,2,73,"Gill, Roger",,200,1964,1965
69,6/25/1947,Florida State,Retired,6,76,"Glass, Chip",,235,1969,1974
76,9/16/1940,San Diego State,Retired,3,74,"Petties, Neal",,198,1964,1966
25,7/1/1991,Southern Methodist,Active,1,76,"Gilbert, Garrett",QB,221,,
,1/24/1896,Indiana,Retired,3,72,"Risley, Elliot",,207,1921,1923
74,6/11/1942,Southern Mississippi,Retired,4,74,"Walters, Tom",,195,1964,1967
45,10/30/1971,Missouri Valley,Retired,1,75,"Regular, Moses",,255,1996,1996
36,3/27/1981,Tulane,Retired,2,73,"Marler, Seth",,200,2003,2006
28,4/6/1989,Wofford,Retired,1,72,"Irvin, Tommy",,212,2011,2011
43,8/14/1973,Boston College,Retired,6,76,"Mamula, Mike",,252,1995,2000
,10/29/1900,Lawrence,Retired,5,69,"Basing, Myrt",,190,1923,1927
26,8/31/1990,Missouri,Active,4,73,"Gooden, Zaviar",LB,231,,
63,4/24/1954,Nebraska,Retired,9,75,"Ferragamo, Vince",,212,1977,1986
33,9/25/1983,Missouri,Retired,1,75,"Harrington, Dedrick",,248,2007,2008
23,5/17/1994,Temple,Active,1,71,"Shippen, Brandon",WR,198,,
53,8/24/1963,Holy Cross,Retired,2,72,"Fenerty, Gill",,205,1990,1991
40,10/29/1976,Arkansas,Retired,3,78,"Davenport, Joe Dean",,268,2001,2003
76,4/1/1941,Alabama,Retired,1,72,"Nelson, Benny",,185,1964,1964
27,1/12/1990,UCLA,Active,5,77,"McDermott, Kevin",LS,240,,
53,10/24/1963,Utah,Retired,1,75,"Reach, Kevin",,270,1987,1987
28,11/1/1988,Central Florida,Retired,1,76,"Goins, Theo",,317,2013,2013
,11/6/1939,Wisconsin,Retired,5,73,"Vander Kelen, Ron",,185,1963,1967
32,7/24/1984,Western Carolina,Retired,0,79,"McAlmont, Kevin",,320,2006,2007
45,9/18/1971,North Carolina A&T,Retired,1,77,"Edwards, Ron",,311,1994,1994
48,8/18/1968,Miami (Fla.),Retired,1,69,"Johnson, Alex",,167,1991,1991
,7/1/1917,Mississippi State,Retired,2,76,"Harrison, Gran",,211,1941,1942
28,7/10/1988,Louisiana Tech,Retired,4,70,"Victorian, Josh",,190,2011,2014
26,3/28/1991,Utah State,Active,3,74,"Vigil, Zach",OLB,240,,
27,11/22/1989,Tulsa,Retired,4,68,"Johnson, Damaris",,175,2012,2015
,6/20/1912,Southwestern (Kans.),Retired,1,71,"Baltzell, Vic",,205,1935,1935
37,2/29/1980,Alabama,Retired,1,77,"Ellington, Dante",,363,2005,2005
23,9/23/1993,Alabama,Active,2,74,"Ragland, Reggie",ILB,252,,
,1/15/1917,Duke,Retired,1,73,"Ribar, Frank",,190,1943,1943
72,9/1/1944,Virginia,Retired,2,76,"Carrington, Ed",,225,1968,1969
43,6/10/1973,Arizona,Retired,3,69,"Sanders, Brandon",,185,1997,1999
33,4/20/1984,Notre Dame,Active,1,76,"Fasano, Anthony",TE,255,,
57,10/24/1959,Mississippi State,Retired,6,79,"Keys, Tyrone",,272,1983,1988
29,5/2/1988,South Florida,Retired,2,73,"Genus, Sampson",,315,2011,2012
24,7/7/1992,Vanderbilt,Active,1,77,"Scheu, Steven",TE,255,,
25,11/11/1991,Toledo,Active,4,75,"Elliott, Jay",LB,255,,
52,2/16/1965,Florida,Retired,2,75,"Charlton, Clifford",,240,1988,1989
,12/8/1892,Yale,Retired,1,68,"Kempton, Herb",,155,1921,1921
25,5/31/1992,Central Florida,Active,1,75,"McCray, Justin",G,321,,
53,5/15/1964,San Diego State,Retired,1,76,"O'Callaghan, John",,245,1987,1987
62,3/29/1955,Texas,Retired,8,71,"Campbell, Earl",,232,1978,1985
75,1/6/1942,Muskingam,Retired,2,75,"LaLonde, Roger",,255,1964,1965
66,2/21/1951,Nebraska,Retired,4,73,"Olds, Bill",,224,1973,1976
,2/19/1898,No College,Retired,1,70,"Lepper, Barney",,185,1920,1920
33,1/23/1984,Middle Tennessee State,Retired,0,76,"Scandrett, Devarick",,302,2006,2006
60,1/10/1957,Stanford,Retired,2,73,"Francis, Phil",,205,1979,1980
66,11/5/1950,Northern Michigan,Retired,1,74,"Kearney, Tim",,227,1972,1981
49,5/13/1968,Temple,Retired,6,78,"Harris, James",,285,1993,1999
57,11/9/1959,Bethune-Cookman,Retired,1,77,"Riggins, Charles",,295,1987,1987
40,3/9/1977,Virginia,Retired,2,76,"LaMontagne, Noel",,301,2000,2001
59,7/19/1957,Florida,Retired,8,73,"Harrell, James",,224,1979,1987
,11/28/1935,Purdue,Retired,3,76,"Selawski, Gene",,252,1959,1961
,2/2/1919,Wake Forest,Retired,1,73,"Barbour, Elmer",,200,1945,1945
81,8/16/1935,Baylor,Retired,1,77,"Glass, Bill",,252,1958,1968
,6/24/1925,No College,Retired,1,69,"Yonamine, Wally",,170,1947,1947
32,11/20/1984,Georgia Tech,Retired,6,70,"Choice, Tashard",,210,2008,2013
60,12/31/1956,Arizona State,Retired,1,77,"Harris, Al",,250,1979,1990
,1/12/1928,Dayton,Retired,5,73,"Lange, Bill",,239,1951,1955
,10/1/1912,Catholic,Retired,1,74,"Schmarr, Herm",,210,1943,1943
24,12/24/1992,Fresno State,Active,4,73,"Adams, Davante",WR,215,,
51,1/5/1966,Missouri,Retired,2,76,"Bax, Carl",,290,1989,1990
,2/14/1913,Drake,Retired,5,72,"Deskin, Versil",,200,1935,1939
,11/2/1910,Colorado,Retired,2,72,"Ritchhart, Del",,195,1936,1937
34,10/19/1982,Virginia Tech,Retired,2,77,"Martin, Jimmy",,306,2006,2008
35,2/21/1982,Troy,Retired,4,76,"Malone, Alfred",,312,2005,2009
28,1/18/1989,Missouri,Retired,4,77,"Hamilton, Dominique",,315,2012,2015
,12/24/1904,Pittsburgh,Retired,2,71,"Welch, Gibby",,178,1928,1929
29,3/28/1988,Kansas,Active,6,73,"Johnson, Steven",LB,237,,
28,4/14/1989,Florida,Active,8,71,"Haden, Joe",CB,195,,
72,9/28/1944,San Jose State,Retired,3,75,"Baccaglio, Marty",,245,1968,1970
44,9/7/1972,Oregon,Retired,2,75,"Tate, Willy",,251,1996,1998
,4/9/1916,Santa Clara,Retired,1,71,"Ginney, Jerry",,217,1940,1940
74,12/8/1942,Texas-Arlington,Retired,2,73,"Jackson, Steve",,225,1966,1967
32,8/2/1984,Purdue,Retired,0,72,"Hall, George",,240,2007,2007
56,5/4/1961,Lamar,Retired,2,73,"Harris, Herbert",,206,1986,1987
,6/19/1907,Georgia Tech,Retired,2,73,"Watkins, Gordon",,220,1930,1931
27,5/7/1990,Texas,Retired,3,77,"Randall, Kheeston",,325,2012,2014
60,1/13/1957,Texas,Retired,6,76,"Erxleben, Russell",,223,1979,1987
43,12/8/1973,Florida,Retired,1,72,"Daniels, Dexter",,241,1996,1996
52,11/25/1964,Arizona State,Retired,1,72,"Saleaumua, Dan",,315,1987,1998
29,8/17/1987,Newberry,Active,7,72,"Parker, Ron",FS,206,,
27,11/17/1989,Tulane,Active,4,77,"Griffin, Ryan",QB,210,,
33,3/3/1984,Minnesota,Retired,5,76,"Setterstrom, Mark",,318,2006,2010
40,8/25/1976,South Carolina,Retired,2,73,"Jenkins, Corey",,228,2003,2006
53,6/24/1963,Arizona,Retired,1,74,"Mataele, Stan",,278,1987,1987
,8/30/1899,Iowa,Retired,3,73,"Thompson, George",,210,1923,1925
25,11/9/1991,Florida,Active,3,76,"Garcia, Max",OG,309,,
60,3/22/1957,Texas A&M,Retired,1,79,"Risien, Cody",,269,1979,1989
53,11/3/1963,South Dakota,Retired,1,75,"Schamel, Duke",,235,1987,1987
,,No College,Retired,1,,"Litkus, Red",,187,1921,1921
,9/7/1902,No College,Retired,1,,"Vainowski, Pete",,1,1926,1926
29,5/25/1988,Idaho,Retired,1,78,"Novikoff, Tyrone",,320,2012,2012
28,9/13/1988,Tulane,Retired,1,70,"Davis, Phillip",,173,2011,2011
54,6/21/1962,Idaho State,Retired,1,75,"O'Neal, Ken",,240,1987,1987
24,9/26/1992,Connecticut,Active,3,72,"Jones, Byron",FS,199,,
27,1/11/1990,Connecticut,Active,5,78,"Griffin, Ryan",TE,265,,
,5/23/1944,Missouri,Retired,9,77,"Peay, Francis",,250,1966,1974
30,4/8/1987,Villanova,Active,6,71,"Young, Darrel",FB,251,,
33,12/9/1983,Oklahoma State,Retired,0,73,"Pinson, Lawrence",,241,2006,2006
81,7/4/1935,Missouri,Retired,1,73,"Lee, Bob",,245,1960,1960
52,7/19/1964,Liberty,Retired,3,74,"Edwards, Kelvin",,202,1986,1988
23,9/1/1993,UCLA,Active,2,73,"Payton, Jordan",WR,209,,
,1/2/1913,N.Y.U.,Retired,1,75,"Scheuer, Babe",,240,1934,1934
76,1/4/1941,UCLA,Retired,1,71,"Alexander, Kermit",,187,1963,1973
,8/11/1955,Memphis,Retired,6,75,"Harris, Eric",,198,1980,1985
75,3/27/1942,Iowa,Retired,6,75,"Reilly, Mike",,235,1964,1969
,9/14/1918,Notre Dame,Retired,1,73,"Piepul, Milt",,215,1941,1941
,12/28/1925,Villanova,Retired,7,73,"Sandusky, John",,251,1950,1956
38,12/15/1978,Auburn,Retired,3,75,"Diamond, Lorenzo",,260,2003,2005
87,3/21/1930,Loyola Marymount,Retired,3,72,"Nipp, Maury",,219,1952,1956
50,7/22/1966,Middle Tennessee State,Retired,7,73,"Tippins, Ken",,235,1989,1995
,,Detroit Mercy,Retired,1,69,"Kelly, Jimmy",,160,1920,1920
55,3/2/1962,Auburn,Retired,1,70,"Del Greco, Al",,202,1984,2000
26,7/6/1990,Northwestern State-Louisiana,Active,2,75,"Simon, Deon",DT,332,,
57,3/7/1960,Mississippi Valley State,Retired,4,68,"Washington, Sam",,180,1982,1985
57,1/23/1960,Arkansas Tech,Retired,2,73,"Phillips, Irvin",,192,1981,1983
,10/2/1974,North Carolina State,Retired,3,70,"Bell, Ricky",,194,1996,1998
35,8/17/1981,Brown,Retired,3,77,"Gessner, Chas",,215,2003,2007
26,7/21/1990,Alabama,Active,5,77,"Dial, Quinton",DE,318,,
,9/22/1921,Notre Dame,Retired,5,79,"Adams, John",,242,1945,1949
26,7/23/1990,Stanford,Active,6,72,"Bademosi, Johnson",CB,206,,
,9/18/1922,USC,Retired,2,73,"Verry, Norm",,240,1946,1947
32,6/15/1984,Hawaii,Retired,1,75,"Esera, Tala",,310,2007,2008
50,10/12/1966,Penn State,Retired,1,75,"Karpinski, Keith",,255,1989,1989
52,3/28/1965,Duke,Retired,2,75,"Dilweg, Anthony",,215,1989,1990
55,2/27/1962,Ball State,Retired,1,73,"Davis, Jerome",,260,1987,1987
52,12/11/1964,Washington,Retired,1,74,"Kelly, Joe",,235,1986,1996
70,10/28/1946,Virginia Tech,Retired,2,73,"Richards, Jim",,180,1968,1969
38,8/26/1978,Brigham Young,Retired,2,75,"Archibald, Ben",,320,2005,2007
50,8/30/1966,Grambling State,Retired,1,76,"Harris, Michael",,306,1989,1989
34,4/3/1983,Southern Methodist,Retired,1,73,"Nnabuife, Alvin",,212,2006,2007
24,8/3/1992,Arkansas,Active,2,72,"Mitchel, Tevin",CB,190,,
41,12/4/1975,Northeastern,Retired,1,73,"Dixon, Andre",,200,1999,1999
58,4/3/1959,Ohio State,Retired,1,77,"Ferguson, Keith",,252,1981,1990
,3/30/1902,Ripon,Retired,1,74,"Glennie, George",,185,1926,1926
33,7/7/1983,Georgia Tech,Retired,1,72,"Thomas, Levon",,195,2005,2006
33,7/12/1983,Kansas,Retired,1,73,"Thornton, Justin",,213,2010,2010
29,7/17/1987,Troy,Retired,2,71,"Calvin, Jorrick",,192,2010,2011
58,4/18/1959,Wyoming,Retired,3,74,"Eliopulos, Jim",,230,1983,1985
25,1/22/1992,California,Active,4,76,"Rodgers, Richard",TE,257,,
30,7/1/1986,Maryland,Unsigned free agent,9,75,"Henderson, Erin",OLB,244,,
,12/15/1907,Indiana,Retired,2,72,"Ringwalt, Carroll",,210,1930,1931
30,12/9/1986,Colorado State,Retired,1,76,"Walter, Tim",,294,2010,2010
27,3/24/1990,Kentucky,Active,6,73,"Trevathan, Danny",ILB,239,,
34,11/14/1982,Purdue,Retired,1,76,"Orton, Kyle",,228,2005,2014
41,8/10/1975,Florida,Retired,2,71,"George, Tony",,205,1999,2000
70,9/13/1946,Idaho State,Retired,7,70,"Bell, Eddie",,160,1970,1976
,,Duke,Retired,0,77,"Oghobaase, Vince",,303,2010,2010
,11/3/1886,West Virginia Wesleyan,Retired,3,72,"Kellison, John",,210,1920,1922
29,3/13/1988,Boise State,Retired,1,76,"Efaw, Kyle",,250,2012,2012
30,4/23/1987,Florida State,Retired,4,72,"Goodman, Richard",,192,2010,2013
,2/12/1901,Missouri,Retired,1,73,"Van Dyne, Chase",,194,1925,1925
,7/15/1911,South Dakota State,Retired,1,71,"Arndt, Al",,205,1935,1935
,,Phillips,Retired,2,70,"O'Neil, Chuck",,180,1922,1923
72,7/14/1944,Ohio State,Retired,5,71,"Kelley, Ike",,225,1966,1971
,1/1/1915,Santa Clara,Retired,6,71,"Bassi, Dick",,214,1938,1947
33,8/4/1983,Arkansas,Retired,5,70,"Carroll, Ahmad",,190,2004,2009
61,6/18/1955,Tennessee State,Retired,1,76,"Johnson, Stan",,275,1978,1978
65,4/19/1952,Colgate,Retired,1,74,"van Eeghen, Mark",,223,1974,1983
26,6/17/1990,UCLA,Active,6,76,"Harkey, Cory",TE,259,,
64,11/18/1952,Michigan State,Retired,1,71,"Nielsen, Hans",,165,1981,1981
,2/21/1918,Minnesota,Retired,1,74,"Ohlgren, Earl",,210,1942,1942
,4/7/1983,Tennessee,Retired,3,72,"Mahelona, Jesse",,311,2006,2008
50,3/29/1967,Pittsburgh,Retired,1,73,"Olsavsky, Jerry",,221,1989,1998
23,8/12/1993,Louisville,Active,3,74,"Miller, John",OG,303,,
33,9/26/1983,Virginia Tech,Retired,1,74,"Anderson, James",,235,2006,2015
37,6/19/1979,Western Illinois,Retired,1,74,"Niklos, J.R.",,229,2002,2007
,12/17/1917,Kentucky,Retired,1,74,"Marcus, Pete",,200,1944,1944
30,3/24/1987,Baylor,Retired,6,75,"Walton, J.D.",,310,2010,2015
55,2/27/1962,Notre Dame,Retired,2,77,"Kelley, Mike",,273,1985,1987
63,5/23/1954,Morgan State,Retired,4,78,"Baylor, Tim",,195,1976,1979
,2/24/1909,Northwestern,Retired,1,71,"Fencl, Dick",,160,1933,1933
37,8/24/1979,Delaware State,Retired,0,70,"Dennis, DaShane",,175,2006,2006
23,8/6/1993,Wake Forest,Active,1,75,"Brent, K.J.",WR,207,,
29,1/10/1988,Arkansas,Retired,4,73,"Franklin, Jerry",,245,2012,2015
45,2/13/1972,Central Florida,Retired,1,75,"Forsythe, Ray",,310,1995,1995
30,3/5/1987,Alabama A&M,Retired,1,76,"Jackson, Anquez",,330,2011,2011
41,1/17/1976,Georgia Tech,Retired,2,75,"Page, Craig",,303,1999,2000
48,10/1/1968,Michigan,Retired,5,75,"Elliott, Matt",,295,1992,1997
27,2/8/1990,Oregon State,Active,6,77,"Hekker, Johnny",P,236,,
50,2/20/1967,Nevada,Retired,2,71,"Egu, Patrick",,205,1989,1991
45,9/15/1971,Michigan State,Retired,8,71,"Bell, Myron",,212,1994,2001
38,1/10/1979,Utah,Retired,9,77,"Kemoeatu, Ma'ake",,345,2002,2012
31,11/10/1985,Ball State,Retired,5,75,"Gerberry, Dan",,302,2009,2013
27,5/4/1990,Michigan,Active,4,69,"Toussaint, Fitzgerald",RB,204,,
30,1/20/1987,Oregon State,Retired,5,71,"Afalava, Al",,212,2009,2013
42,9/29/1974,Central Florida,Retired,1,71,"Reddick, Nakia",,211,1998,1998
,1/14/1984,USC,Retired,2,74,"Matua, Fred",,315,2006,2008
29,3/27/1988,Stillman,Active,7,74,"Galette, Junior",LB,260,,
69,12/13/1947,Lincoln (MO),Retired,1,71,"Parrish, Lemar",,185,1970,1982
41,7/14/1975,Vanderbilt,Retired,6,74,"Vance, Eric",,218,1997,2002
40,8/23/1976,Northern Arizona,Retired,1,75,"Finn, Dan",,316,1999,1999
52,2/10/1965,Bishop,Retired,3,76,"Harris, William",,239,1987,1990
32,11/16/1984,Kentucky,Retired,1,74,"Jenkins, Ventrell",,285,2009,2009
,4/18/1894,Franklin (Ind.),Retired,1,73,"Yount, Mike",,205,1921,1921
51,10/24/1965,Indiana,Retired,1,69,"Dawsey, Stacey",,154,1987,1987
24,10/23/1992,Ferris State,Active,1,75,"Zimmer, Justin",DT,292,,
60,9/27/1956,Temple,Retired,2,72,"Anderson, Anthony",,197,1979,1980
42,10/8/1974,East Carolina,Retired,1,68,"Galloway, Mitchell",,178,1997,1997
93,2/16/1924,Oregon State,Retired,2,71,"Samuel, Don",,190,1949,1950
39,2/5/1978,Kansas State,Retired,3,69,"Allen, David",,195,2003,2005
24,11/27/1992,Connecticut,Active,1,70,"Foxx, Deshon",WR,177,,
39,12/12/1977,Duke,Retired,2,76,"Andrew, Troy",,305,2001,2002
,9/19/1918,Arizona,Retired,1,73,"Banjavic, Emil",,194,1942,1942
24,8/13/1992,Baylor,Active,2,73,"Landes, Jimmy",LS,252,,
,9/16/1927,Southern Methodist,Retired,1,72,"Page, Paul",,180,1949,1949
50,10/9/1966,Ball State,Retired,2,74,"Riley, Eugene",,236,1990,1991
,7/24/1917,Texas Tech,Retired,3,72,"Sachse, Frank",,197,1943,1945
,1/10/1895,Ohio State,Retired,3,71,"Taylor, Tarzan",,178,1921,1926
24,8/11/1992,Mississippi State,Injured reserve,3,73,"Johnson, Malcolm",RB,231,,
32,7/4/1984,Virginia Commonwealth,Retired,0,76,"Pellot-Rosa, Jesse",,195,2007,2007
37,8/3/1979,Maryland,Retired,1,76,"Jenkins, Kris",,360,2001,2010
44,12/27/1972,Virginia,Retired,5,72,"Way, Charles",,250,1995,1999
,4/29/1936,Southern Methodist,Retired,6,76,"Dewveall, Willard",,224,1959,1964
33,11/2/1983,Illinois,Retired,5,70,"Davis, Jason",,242,2006,2010
,11/12/1891,Notre Dame,Retired,2,72,"Feeney, Al",,210,1920,1921
30,7/25/1986,Nebraska,Retired,2,72,"Nunn, Terrence",,195,2009,2010
45,7/11/1971,Oregon,Retired,1,69,"O'Berry, Herman",,182,1996,1996
37,6/9/1979,Tulane,Retired,3,75,"Robertson, Bernard",,310,2001,2003
,12/14/1916,Texas Christian,Retired,4,72,"Hall, Johnny",,196,1940,1943
47,12/23/1969,Rutgers,Retired,1,74,"Webster, Elnardo",,240,1992,1992
26,8/28/1990,Fresno State,Retired,1,69,"Evans, Rashad",,187,2013,2013
45,12/9/1971,Florida State,Retired,3,69,"Abraham, Clifton",,185,1995,1997
43,2/17/1974,Iowa,Retired,2,70,"Banks, Tavian",,208,1998,1999
66,3/16/1951,Florida A&M,Retired,7,75,"Marion, Frank",,227,1977,1983
47,1/20/1970,Virginia,Retired,1,73,"Kirby, Terry",,225,1993,2002
65,8/31/1951,Nevada-Las Vegas,Retired,1,72,"Lee, Mike",,232,1974,1974
,2/10/1923,Wisconsin,Retired,4,70,"Vogds, Evan",,210,1946,1949
24,2/22/1993,Purdue,Active,3,70,"Hunt, Akeem",RB,190,,
,,Pittsburg State,Retired,6,72,"Andrews, Roy",,226,1923,1928
32,7/10/1984,Houston,Unsigned free agent,9,80,"Vollmer, Sebastian",T,320,,
,5/26/1937,Purdue,Retired,5,72,"Franckhauser, Tom",,195,1959,1963
,1/23/1959,USC,Retired,1,74,"Scoggins, Eric",,235,1982,1982
31,8/17/1985,Shepherd,Retired,5,75,"Schmitt, Ricky",,217,2007,2012
53,2/2/1964,Richmond,Retired,1,72,"Toibin, Brendan",,205,1987,1987
43,6/9/1973,Indiana (PA),Retired,1,75,"Villarrial, Chris",,318,1996,2006
60,3/7/1957,Oklahoma,Retired,7,71,"King, Kenny",,203,1979,1985
,1/1/1923,Wake Forest,Retired,1,72,"Leonetti, Bob",,230,1948,1948
46,5/25/1971,Pittsburgh,Retired,1,78,"Hamilton, Keith",,295,1992,2003
,4/5/1908,Purdue,Retired,1,71,"Risk, Ed",,180,1932,1932
,5/20/1926,Oklahoma,Retired,2,74,"Manley, Leon",,218,1950,1951
32,10/4/1984,Nebraska-Omaha,Active,8,77,"Miller, Zach",TE,243,,
33,12/12/1983,Auburn,Retired,0,77,"Reddick, Troy",,334,2006,2006
57,9/7/1959,Purdue,Retired,3,77,"Virkus, Scott",,260,1983,1985
33,1/28/1984,Memphis,Active,1,73,"Gostkowski, Stephen",K,215,,
69,5/27/1948,Syracuse,Retired,1,78,"Walters, Stan",,275,1972,1983
55,4/18/1962,San Jose State,Retired,2,73,"Richardson, Eric",,183,1985,1986
,7/6/1918,Miami (Fla.),Retired,3,73,"Fox, Terry",,208,1941,1946
67,11/7/1949,Tulane,Retired,1,76,"Walker, Mike",,235,1971,1971
25,5/28/1992,Alabama,Active,2,76,"Shepherd, Austin",OT,327,,
41,1/14/1976,USC,Retired,1,71,"Kelly, Brian",,193,1998,2008
26,9/26/1990,San Jose State,Active,3,70,"Thompson, Peyton",DB,189,,
59,1/25/1958,Arkansas,Retired,2,75,"Ginn, Tommie",,253,1980,1981
48,3/29/1969,Lehigh,Retired,1,73,"Johnson, Jarrod",,280,1992,1992
38,3/20/1979,Texas Tech,Retired,1,75,"Lemons, Devin",,222,2004,2004
26,12/31/1990,Troy,Retired,1,72,"Van Hooser, Wilson",,195,2014,2014
38,1/24/1979,Mississippi State,Retired,3,77,"Davis, Dorsett",,305,2002,2004
64,3/4/1953,Ohio State,Retired,8,72,"Plank, Doug",,200,1975,1982
,10/20/1915,Oregon State,Retired,1,74,"Hackenbruck, Johnny",,215,1940,1940
40,9/19/1976,Southern University,Retired,1,76,"Hart, Lawrence",,254,2001,2001
23,9/9/1993,Georgia Tech,Active,2,71,"White, D.J.",CB,193,,
52,6/14/1964,Concordia (Minn.),Retired,1,68,"Wester, Cleve",,188,1987,1987
36,10/29/1980,McNeese State,Retired,5,70,"Sams, B.J.",,185,2004,2008
53,3/6/1964,Toledo,Retired,1,76,"Thomas, John",,280,1987,1987
54,2/3/1963,Kent State,Retired,1,77,"Weber, Roger",,274,1987,1987
69,7/20/1947,Grambling State,Retired,1,76,"Harris, James",,210,1969,1981
37,2/11/1980,Boise State,Retired,2,71,"Forsey, Brock",,208,2003,2004
,12/4/1921,LSU,Retired,4,75,"Champagne, Ed",,236,1947,1950
,8/28/1918,Baylor,Retired,2,70,"Patterson, Billy",,167,1939,1940
25,3/2/1992,Florida State,Active,4,71,"Brooks, Terrence",DB,200,,
,11/6/1907,Pittsburgh,Retired,3,73,"Matesic, Ed",,198,1934,1936
,9/22/1925,Purdue,Retired,1,71,"Gibron, Abe",,243,1949,1959
81,12/28/1935,Oklahoma,Retired,1,74,"Thomas, Clendon",,196,1958,1968
73,1/19/1944,Nebraska,Retired,6,75,"Barnes, Walt",,245,1966,1971
,2/13/1946,Tennessee-Martin,Retired,2,75,"Nunamaker, Julian",,252,1969,1970
73,6/19/1943,Auburn,Retired,2,75,"Alford, Mike",,230,1965,1966
29,4/4/1988,Fresno State,Retired,5,73,"Jefferson, A.J.",,190,2010,2014
64,11/24/1952,Oregon,Retired,1,75,"Arnold, LeFrancis",,245,1974,1974
44,12/4/1972,Colorado,Retired,1,76,"Johnson, Ted",,253,1995,2004
,6/23/1922,Texas,Retired,1,70,"Lawler, Al",,175,1948,1948
33,8/31/1983,Pittsburgh,Active,1,75,"Fitzgerald, Larry",WR,218,,
55,10/9/1961,Auburn,Retired,4,73,"Jackson, Jeff",,235,1984,1988
,6/25/1950,USC,Retired,4,75,"Parker, Artimus",,208,1974,1977
55,9/19/1961,Indiana (PA),Retired,1,73,"Lawrence, Ben",,325,1987,1987
57,2/2/1960,Tennessee State,Retired,1,77,"Caldwell, Darryl",,245,1983,1983
61,9/22/1955,Stanford,Retired,3,75,"Anderson, Gary",,253,1977,1980
32,10/6/1984,Georgia Tech,Retired,2,71,"Ball, Reggie",,195,2007,2008
