player,position,C,D,LW,RW,retire_year,retire_age,years_played
Chris Dingman\dingmch01,LW,0,0,1,0,2006,29,1
Chris Drury\drurych01,C,1,0,0,0,2011,34,6
Chris Durno\durnoch01,LW,0,0,1,0,2010,29,2
Chris Gratton\grattch01,C,1,0,0,0,2009,33,4
Chris Higgins\higgich01,LW,0,0,1,0,2016,32,11
Chris Kelly\kellych01,C,1,0,0,0,2017,36,12
Chris Kreider\kreidch01,LW,0,0,1,0,2017,25,5
Chris Kunitz\kunitch01,LW,0,0,1,0,2017,37,12
Chris Minard\minarch01,LW,0,0,1,0,2010,28,3
Chris Mueller\muellch01,C,1,0,0,0,2015,28,5
Chris Neil\neilch01,RW,0,0,0,1,2017,37,12
Chris Phillips\phillch02,D,0,1,0,0,2015,36,10
Chris Porter\portech01,LW,0,0,1,0,2016,31,8
Chris Pronger*\prongch01,D,0,1,0,0,2012,37,7
Chris Simon\simonch01,LW,0,0,1,0,2009,36,3
Chris Stewart\stewach02,RW,0,0,0,1,2017,29,9
Chris Summers\summech01,D,0,1,0,0,2016,27,6
Chris Tanev\tanevch01,D,0,1,0,0,2017,27,7
Chris Terry\terrych01,LW,0,0,1,0,2017,27,5
Chris Therien\therich01,D,0,1,0,0,2006,34,1
Chris Thorburn\thorbch01,RW,0,0,0,1,2017,33,12
Chris Tierney\tiernch01,C,1,0,0,0,2017,22,3
Chris VandeVelde\vandech01,C,1,0,0,0,2017,29,7
Chris Wagner\wagnech01,RW,0,0,0,1,2017,25,3
Chris Wideman\widemch01,D,0,1,0,0,2017,27,2
Christian Backman\backmch01,D,0,1,0,0,2009,28,4
Christian Dvorak\dvorach01,LW,0,0,1,0,2017,20,1
Christian Ehrhoff\ehrhoch01,D,0,1,0,0,2016,33,11
Christian Fischer\fischch01,RW,0,0,0,1,2017,19,1
Christian Folin\folinch01,D,0,1,0,0,2017,25,4
Christian Hanson\hansoch01,RW,0,0,0,1,2011,24,3
Christian Thomas\thomach01,RW,0,0,0,1,2016,23,4
Christoph Bertschy\bertsch02,C,1,0,0,0,2017,22,2
Christoph Schubert\schubch01,LW,0,0,1,0,2010,27,5
Christopher Breen\breench01,D,0,1,0,0,2014,24,1
Chuck Kobasew\kobasch01,RW,0,0,0,1,2014,31,9
Clarke MacArthur\macarcl01,LW,0,0,1,0,2017,31,11
Clarke Wilm\wilmcl01,C,1,0,0,0,2006,29,1
Claude Giroux\giroucl01,RW,0,0,0,1,2017,29,10
Claude Lemieux\lemiecl01,RW,0,0,0,1,2009,43,1
Clay Wilson\wilsocl01,D,0,1,0,0,2012,28,5
Clayton Keller\kellecl01,LW,0,0,1,0,2017,18,1
Clayton Stoner\stonecl01,D,0,1,0,0,2017,31,8
Cody Almond\almonco01,C,1,0,0,0,2012,22,3
Cody Bass\bassco01,C,1,0,0,0,2017,30,10
Cody Ceci\cecico01,D,0,1,0,0,2017,23,4
Cody Eakin\eakinco01,C,1,0,0,0,2017,25,6
Cody Franson\fransco01,D,0,1,0,0,2017,29,8
Cody Goloubef\golouco01,D,0,1,0,0,2017,27,6
Cody Hodgson\hodgsco01,C,1,0,0,0,2016,25,6
Cody Kunyk\kunykco01,LW,0,0,1,0,2014,23,1
Cody McCormick\mccorco01,C,1,0,0,0,2015,31,10
Cody McLeod\mcleoco01,LW,0,0,1,0,2017,32,10
Colby Armstrong\armstco01,RW,0,0,0,1,2013,30,8
Colby Cohen\cohenco01,D,0,1,0,0,2011,21,1
Colby Robak\robakco01,D,0,1,0,0,2015,24,4
Cole Jarrett\jarreco01,D,0,1,0,0,2006,23,1
Cole Schneider\schneco02,LW,0,0,1,0,2017,26,2
Colin Forbes\forbeco01,LW,0,0,1,0,2006,29,1
Colin Fraser\fraseco01,C,1,0,0,0,2015,30,9
Colin Greening\greenco01,LW,0,0,1,0,2016,29,6
Colin Hemingway\heminco01,RW,0,0,0,1,2006,25,1
Colin McDonald\mcdonco01,RW,0,0,0,1,2017,32,8
Colin Miller\milleco02,D,0,1,0,0,2017,24,2
Colin Smith\smithco01,C,1,0,0,0,2015,21,1
Colin Stuart\stuarco01,LW,0,0,1,0,2012,29,5
Colin White\whiteco01,D,0,1,0,0,2012,34,7
Colin White\whiteco02,C,1,0,0,0,2017,20,1
Colin Wilson\wilsoco01,LW,0,0,1,0,2017,27,8
Colten Teubert\teubeco01,D,0,1,0,0,2012,21,1
Colton Gillies\gillico01,C,1,0,0,0,2013,23,5
Colton Orr\orrco01,RW,0,0,0,1,2015,32,10
Colton Parayko\parayco01,D,0,1,0,0,2017,23,2
Colton Sceviour\scevico01,RW,0,0,0,1,2017,27,7
Colton Sissons\sissoco01,C,1,0,0,0,2017,23,4
Connor Brickley\brickco01,C,1,0,0,0,2016,23,1
Connor Brown\brownco02,RW,0,0,0,1,2017,23,2
Connor Carrick\carrico01,D,0,1,0,0,2017,22,4
Connor James\jamesco01,RW,0,0,0,1,2009,26,4
Connor Jones\jonesco01,C,1,0,0,0,2017,26,1
Connor McDavid\mcdavco01,C,1,0,0,0,2017,20,2
Connor Murphy\murphco02,D,0,1,0,0,2017,23,4
Conor Allen\allenco01,D,0,1,0,0,2015,25,2
Conor Sheary\shearco01,LW,0,0,1,0,2017,24,2
Corban Knight\knighco01,C,1,0,0,0,2016,25,3
Corey Elkins\elkinco01,C,1,0,0,0,2010,24,1
Corey Locke\lockeco01,C,1,0,0,0,2011,26,4
Corey Perry\perryco01,RW,0,0,0,1,2017,31,12
Corey Potter\potteco01,D,0,1,0,0,2016,32,8
Corey Tropp\troppco01,RW,0,0,0,1,2017,27,6
Cory Conacher\conacco01,LW,0,0,1,0,2017,27,5
Cory Cross\crossco01,D,0,1,0,0,2006,35,1
Cory Emmerton\emmerco01,C,1,0,0,0,2014,25,4
Cory Murphy\murphco01,D,0,1,0,0,2010,31,3
Cory Sarich\saricco01,D,0,1,0,0,2014,35,9
Cory Stillman\stillco01,LW,0,0,1,0,2011,37,6
Craig Adams\adamscr01,RW,0,0,0,1,2015,37,10
Craig Conroy\conrocr01,C,1,0,0,0,2011,39,6
Craig Cunningham\cunnicr01,RW,0,0,0,1,2016,25,3
Craig MacDonald\macdocr01,C,1,0,0,0,2009,31,4
Craig Rivet\rivetcr01,D,0,1,0,0,2011,36,6
Craig Smith\smithcr01,RW,0,0,0,1,2017,27,6
Craig Weller\wellecr01,RW,0,0,0,1,2009,28,2
Cristoval Nieves\nievecr01,C,1,0,0,0,2017,23,1
Curtis Brown\browncu01,C,1,0,0,0,2009,31,3
Curtis Glencross\glenccu01,LW,0,0,1,0,2015,32,9
Curtis Hamilton\hamilcu01,LW,0,0,1,0,2015,23,1
Curtis Lazar\lazarcu01,RW,0,0,0,1,2017,21,3
Curtis McKenzie\mckencu01,LW,0,0,1,0,2017,25,3
D.J. King\kingdj01,LW,0,0,1,0,2012,27,6
Dainius Zubrus\zubruda01,RW,0,0,0,1,2016,37,11
Dale Weise\weiseda01,RW,0,0,0,1,2017,28,7
Dallas Drake\drakeda01,RW,0,0,0,1,2009,38,3
Dalton Prout\proutda01,D,0,1,0,0,2017,26,6
Damien Brunner\brunnda01,RW,0,0,0,1,2015,28,3
Damon Severson\severda01,D,0,1,0,0,2017,22,3
Dan Boyle\boyleda01,D,0,1,0,0,2016,39,11
Dan Cleary\clearda01,RW,0,0,0,1,2015,36,10
Dan Fritsche\fritsda01,RW,0,0,0,1,2009,23,4
Dan Girardi\girarda01,D,0,1,0,0,2017,32,11
Dan Hamhuis\hamhuda01,D,0,1,0,0,2017,34,12
Dan Hinote\hinotda01,RW,0,0,0,1,2009,32,4
Dan Jancevski\janceda01,D,0,1,0,0,2009,27,4
Dan LaCouture\lacouda01,LW,0,0,1,0,2009,31,4
Dan McGillis\mcgilda01,D,0,1,0,0,2006,33,1
Dan Renouf\renouda01,D,0,1,0,0,2017,22,1
Dan Sexton\sextoda01,RW,0,0,0,1,2011,23,2
Dan Smith\smithda02,D,0,1,0,0,2006,29,1
Dana Tyrell\tyrelda01,C,1,0,0,0,2015,25,5
Dane Byers\byersda01,LW,0,0,1,0,2012,25,5
Daniel Alfredsson\alfreda01,RW,0,0,0,1,2014,41,9
Daniel Bang\bangda01,RW,0,0,0,1,2013,25,1
Daniel Briere\brierda01,C,1,0,0,0,2015,37,10
Daniel Carcillo\carcida01,LW,0,0,1,0,2015,30,9
Daniel Carr\carrda01,LW,0,0,1,0,2017,25,2
Daniel Catenacci\catenda01,C,1,0,0,0,2016,22,1
Daniel O'Regan\oregada01,C,1,0,0,0,2017,23,1
Daniel Paille\paillda01,LW,0,0,1,0,2016,31,11
Daniel Sedin\sedinda01,LW,0,0,1,0,2017,36,12
Daniel Sprong\spronda01,RW,0,0,0,1,2016,18,1
Daniel Tjarnqvist\tjarnda01,D,0,1,0,0,2009,32,4
Daniel Winnik\winnida01,LW,0,0,1,0,2017,31,10
Daniil Tarasov\tarasda01,RW,0,0,0,1,2015,23,1
Danny Biega\biegada01,D,0,1,0,0,2015,23,1
Danny Bois\boisda01,RW,0,0,0,1,2009,23,1
Danny DeKeyser\dekeyda01,D,0,1,0,0,2017,26,5
Danny Irmen\irmenda01,C,1,0,0,0,2010,25,1
Danny Markov\markoda01,D,0,1,0,0,2009,30,2
Danny Richmond\richmda01,D,0,1,0,0,2009,23,3
Danny Syvret\syvreda01,D,0,1,0,0,2011,25,6
Danton Heinen\heineda01,C,1,0,0,0,2017,21,1
Dany Heatley\heatlda01,RW,0,0,0,1,2015,34,10
Darcy Campbell\campbda02,D,0,1,0,0,2009,22,1
Darcy Hordichuk\hordida01,LW,0,0,1,0,2013,32,8
Darcy Tucker\tuckeda01,RW,0,0,0,1,2010,34,5
Darius Kasparaitis\kaspada01,D,0,1,0,0,2009,34,2
Darnell Nurse\nurseda01,D,0,1,0,0,2017,21,3
Darren Archibald\archida02,RW,0,0,0,1,2014,23,1
Darren Dietz\dietzda01,D,0,1,0,0,2016,22,1
Darren Haydar\haydada01,RW,0,0,0,1,2010,30,4
Darren Helm\helmda01,C,1,0,0,0,2017,30,10
Darren Langdon\langdda01,LW,0,0,1,0,2006,35,1
Darren McCarty\mccarda02,RW,0,0,0,1,2009,36,4
Darren Reid\reidda03,RW,0,0,0,1,2009,23,2
Darroll Powe\poweda01,C,1,0,0,0,2014,28,6
Darryl Bootland\bootlda01,RW,0,0,0,1,2009,26,2
Darryl Boyce\boyceda01,C,1,0,0,0,2012,27,5
Darryl Sydor\sydorda01,D,0,1,0,0,2010,37,5
Dave Andreychuk*\andreda01,LW,0,0,1,0,2006,42,1
Dave Bolland\bollada01,C,1,0,0,0,2016,29,10
Dave Moss\mossda01,RW,0,0,0,1,2015,33,9
Dave Scatchard\scatcda01,C,1,0,0,0,2011,34,6
David Backes\backeda01,RW,0,0,0,1,2017,32,11
David Booth\boothda01,LW,0,0,1,0,2015,30,9
David Brine\brineda01,C,1,0,0,0,2008,23,1
David Broll\brollda01,LW,0,0,1,0,2014,21,1
David Clarkson\clarkda03,RW,0,0,0,1,2016,31,10
David Desharnais\deshada01,C,1,0,0,0,2017,30,8
David Dziurzynski\dziurda01,LW,0,0,1,0,2016,26,4
David Gove\goveda01,LW,0,0,1,0,2009,28,2
David Hale\haleda01,D,0,1,0,0,2011,29,6
David Jones\jonesda01,RW,0,0,0,1,2016,31,9
David Koci\kocida01,LW,0,0,1,0,2011,29,5
David Krejci\krejcda01,C,1,0,0,0,2017,30,11
David Laliberte\lalibda01,RW,0,0,0,1,2010,23,1
David Legwand\legwada01,C,1,0,0,0,2016,35,11
David Liffiton\liffida01,D,0,1,0,0,2011,26,6
David McIntyre\mcintda01,C,1,0,0,0,2012,24,1
David Musil\musilda01,D,0,1,0,0,2015,21,1
David Oliver\oliveda01,RW,0,0,0,1,2006,34,1
David Pastrnak\pastrda01,RW,0,0,0,1,2017,20,3
David Perron\perroda01,LW,0,0,1,0,2017,28,10
David Printz\printda01,D,0,1,0,0,2009,26,2
David Rundblad\rundbda01,D,0,1,0,0,2016,25,5
David Savard\savarda01,D,0,1,0,0,2017,26,6
David Schlemko\schleda01,D,0,1,0,0,2017,29,9
David Sloane\sloanda01,RW,0,0,0,1,2009,23,1
David Steckel\steckda01,LW,0,0,1,0,2014,31,9
David Tanabe\tanabda01,D,0,1,0,0,2009,27,3
David Ullstrom\ullstda01,LW,0,0,1,0,2013,23,2
David Van Der Gulik\vandeda01,RW,0,0,0,1,2015,31,7
David Vyborny\vyborda01,RW,0,0,0,1,2009,33,3
David Warsofsky\warsoda01,D,0,1,0,0,2017,26,4
David Wolf\wolfda01,LW,0,0,1,0,2015,25,1
Davis Drewiske\drewida01,D,0,1,0,0,2013,28,5
Daymond Langkow\langkda01,C,1,0,0,0,2012,35,7
Dean Arsene\arsende01,D,0,1,0,0,2010,29,1
Dean Kukan\kukande01,D,0,1,0,0,2016,22,1
Dean McAmmond\mcammde01,LW,0,0,1,0,2010,36,5
Denis Arkhipov\arkhide01,C,1,0,0,0,2009,27,1
Denis Gauthier\gauthde01,D,0,1,0,0,2009,32,4
Denis Grebeshkov\grebede01,D,0,1,0,0,2014,30,9
Denis Gurianov\guriade01,RW,0,0,0,1,2017,19,1
Denis Hamel\hamelde01,LW,0,0,1,0,2009,29,2
Denis Malgin\malgide01,C,1,0,0,0,2017,20,1
Denis Tolpeko\tolpede01,C,1,0,0,0,2008,23,1
Dennis Everberg\everbde01,RW,0,0,0,1,2016,24,2
Dennis Rasmussen\rasmude01,C,1,0,0,0,2017,26,2
Dennis Seidenberg\seidede01,D,0,1,0,0,2017,35,12
Dennis Wideman\widemde01,D,0,1,0,0,2017,33,12
Derek Armstrong\armstde01,C,1,0,0,0,2010,36,5
Derek Boogaard\boogade01,LW,0,0,1,0,2011,28,6
Derek Dorsett\dorsede01,RW,0,0,0,1,2017,30,9
Derek Forbort\forbode01,D,0,1,0,0,2017,24,2
Derek Grant\grantde01,C,1,0,0,0,2017,26,5
Derek Joslin\joslide01,D,0,1,0,0,2013,25,5
Derek MacKenzie\mackede01,C,1,0,0,0,2017,35,12
Derek Meech\meechde01,D,0,1,0,0,2013,28,7
Derek Morris\morride01,D,0,1,0,0,2014,35,9
Derek Peltier\peltide01,D,0,1,0,0,2010,24,2
Derek Roy\royde01,C,1,0,0,0,2015,31,10
Derek Ryan\ryande01,C,1,0,0,0,2017,30,2
Derek Smith\smithde05,D,0,1,0,0,2014,29,5
Derek Stepan\stepade01,C,1,0,0,0,2017,26,7
Derek Whitmore\whitmde01,LW,0,0,1,0,2012,27,1
Derian Hatcher\hatchde01,D,0,1,0,0,2009,35,3
Derick Brassard\brassde01,C,1,0,0,0,2017,29,10
Deron Quint\quintde01,D,0,1,0,0,2009,30,1
Derrick Pouliot\poulide01,D,0,1,0,0,2017,23,3
Derrick Walser\walsede01,D,0,1,0,0,2009,28,1
Deryk Engelland\engelde01,D,0,1,0,0,2017,34,8
Devante Smith-Pelly\smithde06,RW,0,0,0,1,2017,24,6
Devin Setoguchi\setogde01,RW,0,0,0,1,2017,30,10
Devin Shore\shorede01,C,1,0,0,0,2017,22,2
Dick Tarnstrom\tarnsdi01,D,0,1,0,0,2008,33,3
Dillon Simpson\simpsdi01,D,0,1,0,0,2017,0,1
Dion Phaneuf\phanedi01,D,0,1,0,0,2017,31,12
Dmitri Kalinin\kalindm01,D,0,1,0,0,2009,28,4
Dmitrij Jaskin\jaskidm01,RW,0,0,0,1,2017,23,5
Dmitry Afanasenkov\afanadm01,LW,0,0,1,0,2009,26,2
Dmitry Korobov\korobdm01,D,0,1,0,0,2014,24,1
Dmitry Kulikov\kulikdm01,D,0,1,0,0,2017,26,8
Dmitry Orlov\orlovdm01,D,0,1,0,0,2017,25,6
Dominic Moore\mooredo01,C,1,0,0,0,2017,36,12
Dominik Simon\simondo01,C,1,0,0,0,2017,22,2
Dominik Uher\uherdo01,C,1,0,0,0,2015,22,1
Don MacLean\macledo01,C,1,0,0,0,2009,30,2
Donald Brashear\brashdo01,LW,0,0,1,0,2010,38,5
Doug Doull\doulldo01,C,1,0,0,0,2006,31,1
Doug Janik\janikdo01,D,0,1,0,0,2012,31,6
Doug O'Brien\obriedo01,D,0,1,0,0,2006,21,1
Doug Weight\weighdo01,C,1,0,0,0,2011,40,6
Dougie Hamilton\hamildo01,D,0,1,0,0,2017,23,5
Douglas Murray\murrado01,D,0,1,0,0,2014,33,9
Drake Caggiula\caggidr01,LW,0,0,1,0,2017,22,1
Drayson Bowman\bowmadr01,LW,0,0,1,0,2015,25,6
Drew Bagnall\bagnadr01,D,0,1,0,0,2011,27,1
Drew Doughty\doughdr01,D,0,1,0,0,2017,27,9
Drew Fata\fatadr01,D,0,1,0,0,2009,24,2
Drew Larman\larmadr01,C,1,0,0,0,2010,24,4
Drew LeBlanc\lebladr01,C,1,0,0,0,2013,23,1
Drew Miller\milledr01,LW,0,0,1,0,2017,32,10
Drew Shore\shoredr01,C,1,0,0,0,2017,26,5
Drew Stafford\staffdr01,RW,0,0,0,1,2017,31,11
Duncan Keith\keithdu01,D,0,1,0,0,2017,33,12
Duncan Milroy\milrodu01,RW,0,0,0,1,2009,23,1
Duncan Siemens\siemedu01,D,0,1,0,0,2017,23,3
Dustin Boyd\boyddu01,C,1,0,0,0,2011,24,5
Dustin Brown\browndu01,RW,0,0,0,1,2017,32,12
Dustin Byfuglien\byfugdu01,RW,0,0,0,1,2017,31,12
Dustin Jeffrey\jeffrdu01,C,1,0,0,0,2016,27,8
Dustin Kohn\kohndu01,D,0,1,0,0,2010,22,1
Dustin Penner\pennedu01,RW,0,0,0,1,2014,31,9
Duvie Westcott\westcdu01,D,0,1,0,0,2009,30,3
Dwight Helminen\helmidw01,C,1,0,0,0,2010,26,2
Dwight King\kingdw01,LW,0,0,1,0,2017,27,7
Dylan DeMelo\demeldy01,D,0,1,0,0,2017,23,2
Dylan Larkin\larkidy01,C,1,0,0,0,2017,20,2
Dylan McIlrath\mcilrdy01,D,0,1,0,0,2017,24,4
Dylan Olsen\olsendy01,D,0,1,0,0,2016,25,5
Dylan Reese\reesedy01,D,0,1,0,0,2015,30,6
Dylan Strome\stromdy01,C,1,0,0,0,2017,19,1
Ed Jovanovski\jovaned01,D,0,1,0,0,2014,37,9
Elias Lindholm\lindhel01,C,1,0,0,0,2017,22,4
Emerson Etem\etemem01,RW,0,0,0,1,2017,24,5
Emile Poirier\poiriem01,RW,0,0,0,1,2016,21,2
Enver Lisin\lisinen01,RW,0,0,0,1,2010,23,4
Eriah Hayes\hayeser01,RW,0,0,0,1,2015,26,2
Eric Belanger\belaner01,C,1,0,0,0,2013,35,8
Eric Boguniecki\boguner01,RW,0,0,0,1,2009,31,2
Eric Boulton\boulter01,LW,0,0,1,0,2016,39,11
Eric Brewer\breweer01,D,0,1,0,0,2015,35,10
Eric Cairns\cairner01,D,0,1,0,0,2009,32,2
Eric Chouinard\chouier01,C,1,0,0,0,2006,25,1
Eric Daze\dazeer01,LW,0,0,1,0,2006,30,1
Eric Desjardins\desjaer01,D,0,1,0,0,2006,36,1
Eric Fehr\fehrer01,RW,0,0,0,1,2017,31,12
Eric Gelinas\geliner01,D,0,1,0,0,2017,25,5
Eric Godard\godarer01,RW,0,0,0,1,2011,30,6
Eric Gryba\grybaer01,D,0,1,0,0,2017,28,5
Eric Healey\healeer01,LW,0,0,1,0,2006,31,1
Eric Lindros*\lindrer01,RW,0,0,0,1,2009,33,2
Eric Meloche\melocer01,RW,0,0,0,1,2009,30,1
Eric Nickulas\nickuer01,RW,0,0,0,1,2006,30,1
Eric Nystrom\nystrer01,LW,0,0,1,0,2016,32,11
Eric O'Dell\odeller01,C,1,0,0,0,2015,24,2
Eric Perrin\perrier01,C,1,0,0,0,2009,33,3
Eric Selleck\selleer01,RW,0,0,0,1,2016,28,4
Eric Staal\staaler01,C,1,0,0,0,2017,32,12
Eric Tangradi\tangrer01,LW,0,0,1,0,2016,26,7
Eric Weinrich\weinrer01,D,0,1,0,0,2006,39,1
Eric Wellwood\wellwer01,LW,0,0,1,0,2013,22,3
Erik Burgdoerfer\burgder01,D,0,1,0,0,2017,28,1
Erik Christensen\chriser01,C,1,0,0,0,2012,28,7
Erik Cole\coleer01,RW,0,0,0,1,2015,36,10
Erik Condra\condrer01,RW,0,0,0,1,2017,30,7
Erik Gudbranson\gudbrer01,D,0,1,0,0,2017,25,6
Erik Gustafsson\gustaer01,D,0,1,0,0,2014,25,4
Erik Gustafsson\gustaer02,D,0,1,0,0,2016,23,1
Erik Haula\haulaer01,C,1,0,0,0,2017,25,4
Erik Johnson\johnser01,D,0,1,0,0,2017,28,10
Erik Karlsson\karlser01,D,0,1,0,0,2017,26,8
Erik Rasmussen\rasmuer01,C,1,0,0,0,2009,29,2
Erik Reitz\reitzer01,D,0,1,0,0,2009,26,4
Erik Westrum\westrer01,C,1,0,0,0,2009,27,2
Esa Lindell\lindees01,D,0,1,0,0,2017,22,2
Ethan Moreau\moreaet01,LW,0,0,1,0,2012,36,7
Evan Brophey\brophev01,C,1,0,0,0,2012,25,2
Evan McEneny\mceneev01,D,0,1,0,0,2017,22,1
Evan Oberg\obergev01,D,0,1,0,0,2012,23,3
Evan Rodrigues\rodriev01,LW,0,0,1,0,2017,23,2
Evander Kane\kaneev01,LW,0,0,1,0,2017,25,8
Evgeni Dadonov\dadonev01,RW,0,0,0,1,2012,22,3
Evgeni Malkin\malkiev01,LW,0,0,1,0,2017,30,11
Evgeny Artyukhin\artyuev01,RW,0,0,0,1,2010,26,5
Evgeny Grachev\grachev01,C,1,0,0,0,2012,21,2
Evgeny Kuznetsov\kuzneev01,C,1,0,0,0,2017,24,4
Evgeny Medvedev\medveev01,D,0,1,0,0,2016,33,1
Evgeny Svechnikov\svechev01,RW,0,0,0,1,2017,20,1
Fabian Brunnstrom\brunnfa01,LW,0,0,1,0,2012,26,4
Fedor Fedorov\fedorfe01,RW,0,0,0,1,2006,24,1
Fedor Tyutin\tyutife01,D,0,1,0,0,2017,33,12
Fernando Pisani\pisanfe01,RW,0,0,0,1,2011,34,6
Filip Forsberg\forsbfi01,LW,0,0,1,0,2017,22,5
Filip Kuba\kubafi01,D,0,1,0,0,2013,36,8
Filip Novak\novakfi01,D,0,1,0,0,2009,24,2
Francis Bouillon\bouilfr01,D,0,1,0,0,2014,38,9
Francis Lessard\lessafr01,D,0,1,0,0,2011,31,6
Francis Wathier\wathifr01,LW,0,0,1,0,2013,28,4
Francois Beauchemin\beaucfr01,D,0,1,0,0,2017,36,12
Frank Corrado\corrafr01,D,0,1,0,0,2017,23,5
Frank Vatrano\vatrafr01,C,1,0,0,0,2017,22,2
Frans Nielsen\nielsfr01,C,1,0,0,0,2017,32,11
Frantisek Kaberle\kaberfr01,D,0,1,0,0,2009,35,4
Frazer McLaren\mclarfr01,LW,0,0,1,0,2014,26,5
Freddie Hamilton\hamilfr01,C,1,0,0,0,2017,25,4
Freddy Meyer\meyerfr01,D,0,1,0,0,2011,30,6
Frederick Gaudreau\gaudrfr01,C,1,0,0,0,2017,23,1
Frederik Gauthier\gauthfr01,C,1,0,0,0,2017,21,2
Fredrik Claesson\claesfr01,D,0,1,0,0,2017,24,2
Fredrik Modin\modinfr01,LW,0,0,1,0,2011,36,6
Fredrik Sjostrom\sjostfr01,RW,0,0,0,1,2011,27,6
Frédéric St. Denis\stdenfr01,D,0,1,0,0,2015,29,4
Gabe Gauthier\gauthga01,LW,0,0,1,0,2009,24,2
Gabriel Bourque\bourqga01,RW,0,0,0,1,2017,26,6
Gabriel Carlsson\carlsga01,D,0,1,0,0,2017,20,1
Gabriel Dumont\dumonga01,C,1,0,0,0,2017,26,6
Gabriel Landeskog\landega01,LW,0,0,1,0,2017,24,6
Garnet Exelby\exelbga01,D,0,1,0,0,2010,28,5
Garnet Hathaway\hathaga01,RW,0,0,0,1,2017,25,2
Garrett Mitchell\mitchga01,RW,0,0,0,1,2017,25,1
Garrett Stafford\staffga01,D,0,1,0,0,2011,31,4
Garrett Wilson\wilsoga01,LW,0,0,1,0,2016,24,3
Garth Murray\murraga01,LW,0,0,1,0,2009,26,4
Gary Roberts\roberga01,LW,0,0,1,0,2009,42,4
Gemel Smith\smithge02,C,1,0,0,0,2017,22,1
Geoff Kinrade\kinrage01,D,0,1,0,0,2009,23,1
Geoff Platt\plattge01,C,1,0,0,0,2009,22,3
Geoff Sanderson\sandege01,LW,0,0,1,0,2009,35,3
George Parros\parroge01,RW,0,0,0,1,2014,34,9
Georges Laraque\laraqge01,RW,0,0,0,1,2010,33,5
Gilbert Brule\brulegi01,C,1,0,0,0,2014,27,9
Glen Metropolit\metrogl01,C,1,0,0,0,2010,35,4
Glen Murray\murragl01,RW,0,0,0,1,2009,35,3
Glen Wesley\weslegl01,D,0,1,0,0,2009,39,3
Graham Mink\minkgr01,LW,0,0,1,0,2009,29,4
Grant Clitsome\clitsgr01,D,0,1,0,0,2015,29,6
Grant Lewis\lewisgr01,D,0,1,0,0,2009,24,1
Grant Marshall\marshgr01,RW,0,0,0,1,2006,32,1
Grant Stevenson\stevegr01,C,1,0,0,0,2006,24,1
Greg Jacina\jacingr01,C,1,0,0,0,2009,24,2
Greg Johnson\johnsgr02,C,1,0,0,0,2006,34,1
Greg Mauldin\mauldgr01,C,1,0,0,0,2011,28,2
Greg McKegg\mckeggr01,C,1,0,0,0,2017,24,4
Greg Moore\mooregr01,RW,0,0,0,1,2010,25,3
Greg Nemisz\nemisgr01,C,1,0,0,0,2012,21,2
Greg Pateryn\patergr01,D,0,1,0,0,2017,26,5
Greg Rallo\rallogr01,C,1,0,0,0,2013,31,2
Greg Stewart\stewagr01,LW,0,0,1,0,2010,23,3
Greg Zanon\zanongr01,D,0,1,0,0,2013,32,8
Greg de Vries\devrigr01,D,0,1,0,0,2009,36,4
Gregory Campbell\campbgr01,C,1,0,0,0,2016,32,11
Griffen Molino\molingr01,C,1,0,0,0,2017,23,1
Griffin Reinhart\reinhgr01,D,0,1,0,0,2016,22,2
Guillaume Desbiens\desbigu01,D,0,1,0,0,2012,26,3
Guillaume Latendresse\latengu01,RW,0,0,0,1,2013,25,7
Guillaume Lefebvre\lefebgu01,LW,0,0,1,0,2010,28,5
Gustav Forsling\forslgu02,D,0,1,0,0,2017,20,1
Gustav Nyquist\nyquigu01,RW,0,0,0,1,2017,27,6
Gustav Olofsson\olofsgu01,D,0,1,0,0,2017,22,2
Hal Gill\gillha01,D,0,1,0,0,2014,38,9
Hampus Lindholm\lindhha01,D,0,1,0,0,2017,23,4
Harri Pesonen\pesonha01,C,1,0,0,0,2013,24,1
Harry Zolnierczyk\zolniha01,LW,0,0,1,0,2017,29,6
Henrik Samuelsson\samuehe01,C,1,0,0,0,2015,20,1
Henrik Sedin\sedinhe01,C,1,0,0,0,2017,36,12
Henrik Tallinder\tallihe01,D,0,1,0,0,2014,35,9
Henrik Zetterberg\zettehe01,LW,0,0,1,0,2017,36,12
Hudson Fasching\faschhu01,RW,0,0,0,1,2017,21,2
Hugh Jessiman\jessihu01,RW,0,0,0,1,2011,26,1
Hunter Shinkaruk\shinkhu01,LW,0,0,1,0,2017,22,2
Ian Cole\coleia01,D,0,1,0,0,2017,27,7
Ian Laperriere\laperia01,RW,0,0,0,1,2010,36,5
Ian McCoshen\mccosia01,D,0,1,0,0,2017,21,1
Ian Moran\morania01,D,0,1,0,0,2009,34,2
Ian White\whiteia01,D,0,1,0,0,2013,28,8
Igor Ulanov\ulanoig01,D,0,1,0,0,2006,36,1
Iiro Pakarinen\pakarii01,RW,0,0,0,1,2017,25,3
Ilkka Heikkinen\heikkil01,D,0,1,0,0,2010,25,1
Ilkka Pikkarainen\pikkail01,RW,0,0,0,1,2010,28,1
Ilya Kovalchuk\kovalil01,LW,0,0,1,0,2013,29,8
Ilya Zubov\zubovil01,C,1,0,0,0,2009,21,2
